City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
biak,-0.9131,122.8766,77.14,86.0,100,7.49,ID,1613183787.0
belmonte,-15.8631,-38.8828,78.8,73.0,20,9.22,BR,1613183789.0
nuevitas,21.5453,-77.2644,73.4,88.0,20,6.91,CU,1613183791.0
saint-philippe,-21.3585,55.7679,78.8,65.0,0,12.66,RE,1613183793.0
aljezur,37.3191,-8.8033,50.83,72.0,94,4.5,PT,1613183796.0
eyemouth,55.8713,-2.0901,27.0,92.0,96,7.0,GB,1613183798.0
pandan,14.0453,124.1694,79.38,82.0,72,12.82,PH,1613183800.0
arroio grande,-32.2375,-53.0869,63.0,93.0,100,18.01,BR,1613183802.0
kavaratti,10.5669,72.642,80.55,62.0,36,4.83,IN,1613183800.0
antalaha,-14.9003,50.2788,74.79,87.0,100,4.88,MG,1613183806.0
quatre cocos,-20.2078,57.7625,78.8,78.0,40,11.5,MU,1613183812.0
coro,11.4045,-69.6734,75.7,81.0,17,16.33,VE,1613183814.0
ous,60.9058,61.5186,-6.66,92.0,100,3.04,RU,1613183816.0
nouadhibou,20.931,-17.0347,62.6,82.0,0,23.02,MR,1613183819.0
along,28.1667,94.7667,67.41,40.0,21,0.43,IN,1613183821.0
ambon,-3.6954,128.1814,84.2,79.0,40,3.44,ID,1613183823.0
omsukchan,62.5333,155.8,-11.0,86.0,19,5.12,RU,1613183589.0
saint-pierre,46.7654,-56.1695,31.12,91.0,0,25.7,PM,1613183827.0
elko,41.0002,-115.5012,42.8,61.0,90,9.22,US,1613183831.0
jardim,-21.4803,-56.1381,69.71,92.0,0,2.33,BR,1613183833.0
peace river,56.2501,-117.286,-14.8,70.0,1,9.22,CA,1613183835.0
salalah,17.0151,54.0924,66.2,45.0,0,2.3,OM,1613183837.0
taksimo,56.3444,114.8794,-3.96,80.0,100,4.9,RU,1613183840.0
casino,-28.8667,153.05,89.6,51.0,64,9.22,AU,1613183842.0
beloha,-25.1667,45.05,75.4,74.0,97,11.7,MG,1613183844.0
salamiyah,35.0113,37.0532,46.44,88.0,0,4.29,SY,1613183846.0
karratha,-20.7377,116.8463,84.96,57.0,38,12.5,AU,1613183850.0
olinda,-8.0089,-34.8553,78.8,73.0,40,9.22,BR,1613183700.0
oranjemund,-28.55,16.4333,63.79,91.0,85,10.04,NA,1613183856.0
nea alikarnassos,35.3333,25.1667,50.0,76.0,20,10.36,GR,1613183858.0
lyngseidet,69.5763,20.2189,26.6,93.0,75,18.41,NO,1613183860.0
bintulu,3.1667,113.0333,75.2,100.0,40,2.3,MY,1613183863.0
auki,-8.7676,160.7034,80.31,85.0,100,12.1,SB,1613183865.0
thinadhoo,0.5333,72.9333,82.62,67.0,100,9.84,MV,1613183867.0
gidole,5.65,37.3667,62.56,59.0,96,0.81,ET,1613183869.0
sorland,67.667,12.6934,33.89,89.0,100,13.33,NO,1613183871.0
waipawa,-41.4122,175.5153,73.4,49.0,24,14.97,NZ,1613183875.0
weligama,5.9667,80.4167,79.5,76.0,47,2.19,LK,1613183877.0
chhabra,24.6667,76.8333,66.33,33.0,0,8.41,IN,1613183880.0
ghanzi,-21.5667,21.7833,63.73,90.0,82,5.14,BW,1613183884.0
arlit,18.7369,7.3853,63.57,24.0,0,4.18,NE,1613183886.0
itaqui,-29.1253,-56.5531,69.87,77.0,0,6.29,BR,1613183890.0
ipira,-12.1583,-39.7372,71.31,86.0,0,10.13,BR,1613183892.0
aparecida do taboado,-20.0867,-51.0936,70.03,92.0,100,4.05,BR,1613183894.0
lokosovo,61.1333,74.8167,-17.37,87.0,100,3.96,RU,1613183896.0
praia,14.9215,-23.5087,69.8,73.0,0,21.85,CV,1613183690.0
coahuayana,18.7333,-103.6833,64.76,78.0,29,2.71,MX,1613183901.0
bondo,3.8146,23.6866,67.77,36.0,6,1.9,CD,1613183905.0
moerai,-22.4333,-151.3333,81.3,69.0,100,12.03,PF,1613183907.0
cortez,37.3489,-108.5859,37.4,70.0,20,4.74,US,1613183909.0
dunedin,-45.8742,170.5036,64.0,72.0,60,1.99,NZ,1613183911.0
deputatskiy,69.3,139.9,-16.46,90.0,100,2.86,RU,1613183913.0
guerrero negro,27.9769,-114.0611,59.52,80.0,29,15.79,MX,1613183915.0
puri,19.8,85.85,66.2,82.0,0,8.88,IN,1613183924.0
tamara,5.8297,-72.1633,68.11,69.0,75,3.98,CO,1613183926.0
bud,62.9088,6.9145,21.2,63.0,10,12.66,NO,1613183930.0
kungurtug,50.5994,97.5228,-7.73,79.0,19,0.74,RU,1613183932.0
bergerac,44.8333,0.5,36.0,93.0,90,2.3,FR,1613183934.0
coolum beach,-26.5333,153.1,86.0,70.0,85,7.0,AU,1613183936.0
xining,36.6167,101.7667,32.34,88.0,40,2.68,CN,1613183938.0
almaznyy,48.0448,40.045,19.4,79.0,75,22.37,RU,1613183940.0
banda aceh,5.5577,95.3222,84.7,66.0,28,6.64,ID,1613183942.0
belyy yar,53.6039,91.3903,-25.6,75.0,7,0.51,RU,1613183945.0
cabedelo,-6.9811,-34.8339,77.0,100.0,90,6.91,BR,1613183783.0
clyde river,70.4692,-68.5914,-2.2,92.0,100,27.63,CA,1613183864.0
lagoa,39.05,-27.9833,59.45,81.0,100,30.58,PT,1613183953.0
kruisfontein,-34.0033,24.7314,73.99,92.0,100,1.01,ZA,1613183860.0
puerto escondido,15.85,-97.0667,78.8,78.0,40,3.44,MX,1613183961.0
san carlos de bariloche,-41.1456,-71.3082,69.8,52.0,40,14.97,AR,1613183963.0
marataizes,-21.0433,-40.8244,75.25,83.0,100,11.81,BR,1613183965.0
florianopolis,-27.6146,-48.5012,73.4,94.0,75,4.61,BR,1613183968.0
odessa,31.8457,-102.3676,21.2,93.0,90,9.22,US,1613183970.0
shingu,33.7333,135.9833,60.8,63.0,40,10.36,JP,1613183714.0
rancho palos verdes,33.7445,-118.387,59.0,82.0,0,4.0,US,1613183974.0
kroya,-7.6331,109.2461,84.61,71.0,69,3.0,ID,1613183976.0
labuhan,-6.8844,112.2051,82.11,80.0,100,9.73,ID,1613183978.0
robertsport,6.7533,-11.3686,79.54,87.0,25,8.39,LR,1613183980.0
fairview,56.0668,-118.3861,-9.4,84.0,0,4.61,CA,1613183923.0
kawalu,-7.3817,108.2082,83.89,70.0,87,1.59,ID,1613183984.0
ahipara,-35.1667,173.1667,71.64,57.0,0,2.33,NZ,1613183986.0
boa vista,2.8197,-60.6733,80.6,69.0,40,10.36,BR,1613183988.0
nurota,40.5614,65.6886,42.8,75.0,6,4.61,UZ,1613183995.0
san clemente,-35.55,-71.4833,68.0,73.0,40,2.3,CL,1613183997.0
baculin,7.4525,126.5842,84.92,68.0,99,4.97,PH,1613183999.0
groningen,5.8,-55.4667,78.01,88.0,40,5.75,SR,1613184001.0
makaha,21.4694,-158.2175,78.8,64.0,90,10.36,US,1613184003.0
mehran,33.1222,46.1646,37.4,70.0,0,6.91,IR,1613184005.0
schieder-schwalenberg,51.8771,9.1954,10.99,88.0,0,2.89,DE,1613184007.0
tromso,69.6496,18.957,26.6,93.0,75,18.41,NO,1613184009.0
tilichiki,60.4667,166.1,-12.01,85.0,0,12.77,RU,1613184012.0
hilo,19.7297,-155.09,80.6,57.0,1,12.66,US,1613183822.0
maragogi,-9.0122,-35.2225,78.22,82.0,20,9.37,BR,1613184016.0
talnakh,69.4865,88.3972,-21.41,86.0,100,2.33,RU,1613183844.0
nishihara,26.1842,127.7558,73.4,68.0,75,12.66,JP,1613183902.0
neiafu,-18.65,-173.9833,84.2,79.0,75,6.91,TO,1613184022.0
granja,-3.1203,-40.8261,75.34,91.0,100,3.94,BR,1613183789.0
mount darwin,-16.7725,31.5838,65.07,93.0,39,3.85,ZW,1613184026.0
rodrigues alves,-7.738,-72.6509,73.09,96.0,72,0.67,BR,1613184028.0
dingle,52.1408,-10.2689,49.1,88.0,100,28.32,IE,1613184032.0
aizkraukle,56.6048,25.2553,10.0,91.0,45,3.0,LV,1613184034.0
male,4.1748,73.5089,82.4,74.0,20,13.8,MV,1613183884.0
majene,-3.5403,118.9707,82.71,73.0,100,0.63,ID,1613184039.0
ossora,59.2353,163.0719,0.07,83.0,0,11.54,RU,1613184041.0
kinshasa,-4.3246,15.3215,77.0,83.0,76,4.61,CD,1613184043.0
lazaro cardenas,17.9583,-102.2,70.05,74.0,3,5.99,MX,1613184045.0
haimen,23.1935,116.6142,66.2,72.0,75,4.47,CN,1613184047.0
abu kamal,34.4506,40.9171,55.35,49.0,0,9.26,SY,1613184049.0
lujan,-34.5703,-59.105,68.0,99.0,96,7.0,AR,1613184051.0
amapa,1.0,-52.0,73.0,98.0,100,2.71,BR,1613184053.0
durusu,41.3053,28.6767,33.01,59.0,0,16.11,TR,1613184056.0
the valley,18.217,-63.0578,77.0,78.0,40,13.8,AI,1613184060.0
lebu,-37.6167,-73.65,57.94,85.0,0,14.43,CL,1613183865.0
shimanovsk,52.0,127.7,14.43,90.0,0,7.49,RU,1613184064.0
camana,-16.6228,-72.7111,73.11,73.0,4,8.84,PE,1613184066.0
waddan,29.1614,16.139,53.2,45.0,0,8.32,LY,1613183906.0
grindu,44.7667,26.9167,17.6,73.0,0,6.91,RO,1613184070.0
terre-de-bas,15.8501,-61.6442,73.4,78.0,0,6.91,GP,1613184072.0
hakui,36.8833,136.7833,60.8,41.0,40,12.66,JP,1613184074.0
agbor,6.2518,6.1934,77.86,81.0,100,3.18,NG,1613184077.0
prince albert,53.2001,-105.7677,-25.6,68.0,1,4.23,CA,1613183987.0
karangasem,-8.45,115.6167,86.0,70.0,20,10.36,ID,1613184081.0
casambalangan,18.3765,122.1274,77.16,64.0,38,6.42,PH,1613184084.0
barra do garcas,-15.89,-52.2567,71.44,94.0,100,3.06,BR,1613184086.0
nicoya,10.1483,-85.452,77.0,79.0,0,5.75,CR,1613184088.0
tahta,26.7693,31.5021,57.2,51.0,0,6.91,EG,1613183791.0
taltal,-25.4,-70.4833,66.72,72.0,0,4.54,CL,1613184092.0
fomboni,-12.28,43.7425,83.23,78.0,62,20.89,KM,1613184094.0
urubicha,-15.3833,-62.95,71.1,99.0,58,1.95,BO,1613184097.0
ust-kuyga,70.0167,135.6,-9.81,84.0,94,2.37,RU,1613184101.0
kapit,2.0167,112.9333,80.01,89.0,98,2.37,MY,1613184103.0
riberalta,-10.9833,-66.1,72.14,94.0,100,1.43,BO,1613184107.0
bandarbeyla,9.4942,50.8122,71.31,77.0,74,11.5,SO,1613184109.0
charters towers,-20.1,146.2667,87.73,45.0,40,4.59,AU,1613184113.0
krasnoselkup,65.7,82.4667,-35.99,82.0,1,4.59,RU,1613184115.0
arman,59.7,150.1667,14.13,86.0,100,1.3,RU,1613184118.0
coquimbo,-29.9533,-71.3436,62.6,82.0,0,5.75,CL,1613183873.0
impfondo,1.6381,18.0667,75.6,66.0,90,2.82,CG,1613184122.0
umm lajj,25.0213,37.2685,73.2,60.0,0,9.93,SA,1613184124.0
honningsvag,70.9821,25.9704,29.32,89.0,100,23.38,NO,1613184126.0
marrakesh,31.6315,-8.0083,53.6,76.0,0,5.75,MA,1613183965.0
mandalgovi,45.7625,106.2708,7.79,73.0,100,9.86,MN,1613184132.0
san luis,-33.295,-66.3356,70.32,46.0,27,10.74,AR,1613184134.0
mount isa,-20.7333,139.5,93.2,40.0,40,5.75,AU,1613184138.0
saint pete beach,27.7253,-82.7412,73.0,1.0,100,6.69,US,1613184141.0
las matas de farfan,18.8731,-71.5166,67.89,73.0,2,3.67,DO,1613184143.0
bogolyubovo,56.1956,40.5297,7.45,94.0,100,19.3,RU,1613184147.0
leshukonskoye,64.8989,45.7622,-14.53,89.0,0,3.04,RU,1613184149.0
aykhal,66.0,111.5,-20.04,79.0,86,2.19,RU,1613184151.0
ust-omchug,61.15,149.6333,7.5,85.0,100,4.72,RU,1613184153.0
korla,41.7597,86.1469,37.51,70.0,13,5.39,CN,1613184155.0
komsomolskiy,43.9783,46.6985,46.0,67.0,100,21.72,RU,1613184160.0
ostrovnoy,68.0531,39.5131,-0.69,91.0,99,5.95,RU,1613183863.0
port hedland,-20.3167,118.5667,87.8,62.0,90,9.22,AU,1613184164.0
silver city,32.7701,-108.2803,48.2,31.0,90,4.61,US,1613184166.0
mulchen,-37.7167,-72.2333,63.97,64.0,75,4.07,CL,1613184170.0
bastia,42.6667,9.3333,44.6,93.0,90,18.41,FR,1613184158.0
am timan,11.0297,20.2827,68.04,23.0,60,5.32,TD,1613184174.0
astara,38.5,48.6667,46.4,100.0,90,4.61,AZ,1613184176.0
wolgast,54.05,13.7667,24.94,95.0,56,7.92,DE,1613184178.0
chicama,-7.8447,-79.1469,74.79,65.0,86,6.22,PE,1613184181.0
tighina,46.8306,29.4711,15.8,62.0,75,24.16,MD,1613184183.0
maues,-3.3836,-57.7186,75.25,95.0,6,1.74,BR,1613183956.0
hobyo,5.3505,48.5268,74.43,78.0,70,13.73,SO,1613184187.0
banjarmasin,-3.3244,114.591,82.4,83.0,40,4.61,ID,1613184169.0
shahabad,27.65,79.95,60.15,54.0,0,2.82,IN,1613184191.0
sambava,-14.2667,50.1667,74.48,85.0,98,4.34,MG,1613184193.0
fairbanks,64.8378,-147.7164,3.99,78.0,1,1.41,US,1613184195.0
ola,59.5833,151.2833,11.43,83.0,100,2.91,RU,1613184197.0
manokwari,-0.8667,134.0833,83.12,79.0,92,8.23,ID,1613184199.0
san ramon,-13.2833,-64.7167,73.72,95.0,99,3.04,BO,1613184201.0
hirara,24.8,125.2833,75.2,73.0,40,16.11,JP,1613184184.0
klyuchi,52.2667,79.1667,-12.75,86.0,2,5.06,RU,1613184206.0
muli,2.9167,73.5667,80.8,76.0,95,9.64,MV,1613184208.0
mumford,5.2618,-0.759,81.23,86.0,12,11.07,GH,1613184210.0
kieta,-6.2167,155.6333,84.54,74.0,83,9.57,PG,1613184212.0
mogadishu,2.0371,45.3438,75.38,83.0,14,16.84,SO,1613184214.0
sao joao da barra,-21.6403,-41.0511,76.95,86.0,100,13.58,BR,1613184216.0
plettenberg bay,-34.0527,23.3716,71.44,95.0,79,2.55,ZA,1613184218.0
markova,52.2132,104.2054,-16.6,76.0,0,2.24,RU,1613184220.0
lukulu,-14.3707,23.242,64.42,94.0,100,3.31,ZM,1613184225.0
bathsheba,13.2167,-59.5167,77.0,69.0,20,19.57,BB,1613184227.0
san vicente,15.2955,120.6465,80.6,74.0,75,22.37,PH,1613184229.0
hamilton,32.2915,-64.778,70.0,94.0,90,14.97,BM,1613184231.0
muleba,-1.8397,31.6544,69.8,83.0,75,1.83,TZ,1613184233.0
torquay,50.4638,-3.5143,37.0,47.0,100,1.99,GB,1613184239.0
tura,64.2833,100.25,-33.0,81.0,7,2.04,RU,1613184241.0
lufilufi,-13.8745,-171.5986,89.6,74.0,75,9.22,WS,1613184243.0
mahajanga,-15.7167,46.3167,73.4,94.0,40,8.05,MG,1613184248.0
veraval,20.9,70.3667,71.17,43.0,0,8.59,IN,1613184250.0
buala,-8.145,159.5921,80.19,85.0,100,12.1,SB,1613184252.0
agadez,19.75,10.25,60.33,28.0,0,11.01,NE,1613184256.0
nobeoka,32.5833,131.6667,54.0,81.0,100,1.99,JP,1613184258.0
kangaatsiaq,68.3065,-53.4641,6.62,87.0,60,8.43,GL,1613184260.0
kosh-agach,50.0,88.6667,-9.27,87.0,96,0.85,RU,1613184262.0
wajid,3.8093,43.2471,69.35,68.0,0,20.09,SO,1613184264.0
balikpapan,-1.2675,116.8289,82.4,89.0,20,6.91,ID,1613184266.0
itoman,26.1247,127.6694,71.6,83.0,40,18.41,JP,1613184268.0
itarema,-2.9248,-39.9167,79.36,83.0,46,10.63,BR,1613184270.0
benito juarez,19.385,-99.165,57.2,28.0,20,12.66,MX,1613184273.0
terrace,54.5163,-128.6035,24.8,36.0,75,24.16,CA,1613184275.0
faanui,-16.4833,-151.75,82.0,73.0,17,10.67,PF,1613184277.0
ketchikan,55.3422,-131.6461,35.6,32.0,1,12.66,US,1613184279.0
alvarado,4.5661,-74.9623,77.32,67.0,100,4.12,CO,1613184281.0
jacareacanga,-6.2222,-57.7528,73.15,93.0,85,0.38,BR,1613184283.0
kochubey,44.3861,46.5825,44.92,71.0,100,23.76,RU,1613184285.0
pasareni,46.4833,24.7,12.2,67.0,31,5.75,RO,1613184287.0
virginia beach,36.8529,-75.978,39.2,81.0,90,12.66,US,1613184259.0
pemangkat,1.1667,108.9667,81.05,79.0,75,11.63,ID,1613184291.0
rocha,-34.4833,-54.3333,68.79,93.0,100,8.01,UY,1613184026.0
pangoa,-12.1167,-73.0,69.03,96.0,100,1.83,PE,1613184296.0
udachnyy,66.4167,112.4,-19.79,79.0,93,1.25,RU,1613184302.0
iberia,-11.35,-69.5833,71.22,98.0,95,1.28,PE,1613184304.0
puerto del rosario,28.5004,-13.8627,64.4,77.0,75,18.41,ES,1613184306.0
ziniare,12.5822,-1.2983,77.0,20.0,0,4.61,BF,1613184308.0
akcakoca,41.0866,31.1162,33.76,86.0,82,6.29,TR,1613184310.0
kandiari,26.9156,68.5216,65.66,25.0,0,3.33,PK,1613184313.0
ruwi,23.5996,58.5507,66.2,77.0,0,4.61,OM,1613184315.0
glendive,47.1053,-104.7125,-9.0,76.0,20,6.91,US,1613184317.0
shahr-e babak,30.1165,55.1186,44.17,51.0,0,6.13,IR,1613184319.0
tecalitlan,19.4667,-103.3,50.61,85.0,0,2.42,MX,1613184321.0
vilcun,-38.65,-72.2333,55.4,82.0,0,6.91,CL,1613184323.0
wajima,37.4,136.9,57.2,51.0,40,3.44,JP,1613184325.0
zaltan,32.947,11.8665,58.41,44.0,0,6.46,LY,1613184062.0
itaocara,-21.6692,-42.0761,72.52,93.0,100,2.15,BR,1613184116.0
gizo,-8.103,156.8419,83.62,74.0,100,11.34,SB,1613184332.0
keti bandar,24.1447,67.4497,70.52,55.0,0,7.65,PK,1613184334.0
lisieux,49.1667,0.1667,24.8,74.0,0,11.5,FR,1613184336.0
adrar,25.75,-1.0,62.47,35.0,0,11.23,DZ,1613184338.0
ko samui,9.5357,99.9357,84.2,70.0,20,10.36,TH,1613184340.0
livingstonia,-10.606,34.1063,67.05,74.0,100,4.32,MW,1613184342.0
whitecourt,54.1502,-115.6855,-2.2,65.0,40,8.05,CA,1613184344.0
rongcheng,30.634,117.8517,62.94,66.0,0,1.34,CN,1613184346.0
hualmay,-11.0964,-77.6139,73.15,72.0,90,7.7,PE,1613184349.0
sur,22.5667,59.5289,66.74,53.0,0,2.24,OM,1613184351.0
blacksburg,37.2296,-80.4139,30.99,100.0,90,2.8,US,1613184344.0
ulaangom,49.9811,92.0667,-4.47,85.0,23,0.78,MN,1613184126.0
tabou,4.423,-7.3528,78.42,91.0,0,6.58,CI,1613184357.0
leninskoye,47.9353,132.6242,22.91,94.0,71,5.23,RU,1613184359.0
bemidji,47.4736,-94.8803,-20.99,75.0,1,1.63,US,1613184361.0
bulri,24.8667,68.3333,67.98,22.0,0,7.34,PK,1613184364.0
flinders,-34.5833,150.8552,66.0,96.0,100,1.99,AU,1613184368.0
yunguyo,-16.25,-69.0833,47.93,79.0,100,11.07,PE,1613184370.0
gunnedah,-30.9833,150.25,69.8,94.0,75,4.61,AU,1613184372.0
ixtapa,20.7,-105.2,69.8,78.0,75,5.75,MX,1613184374.0
fort nelson,58.8053,-122.7002,-4.0,77.0,1,2.3,CA,1613184376.0
nadym,65.5333,72.5167,-20.9,87.0,98,2.35,RU,1613184379.0
dargaville,-35.9333,173.8833,75.11,45.0,0,7.81,NZ,1613184381.0
denpasar,-8.65,115.2167,86.0,70.0,20,10.36,ID,1613184218.0
vestmannaeyjar,63.4427,-20.2734,41.83,89.0,100,47.62,IS,1613184385.0
khandyga,62.6667,135.6,9.91,90.0,60,1.95,RU,1613184387.0
durango,37.2753,-107.8801,39.2,60.0,90,3.44,US,1613184131.0
lusambo,-4.9667,23.45,69.71,96.0,91,1.1,CD,1613184391.0
lakes entrance,-37.8811,147.981,73.0,55.0,0,1.99,AU,1613184393.0
koson,39.0375,65.585,46.4,71.0,0,6.91,UZ,1613184396.0
mozhga,56.4447,52.2276,26.47,99.0,100,4.32,RU,1613184398.0
versalles,4.5754,-76.1981,66.2,100.0,75,11.5,CO,1613184400.0
turukhansk,65.8167,87.9833,-30.32,78.0,0,6.02,RU,1613184402.0
ruteng,-8.6136,120.4721,77.13,68.0,83,3.18,ID,1613184406.0
aksarka,66.5606,67.7975,-19.95,87.0,100,4.14,RU,1613184408.0
cascas,-7.4833,-78.8167,66.56,71.0,91,2.62,PE,1613184410.0
pedernales,0.0833,-80.05,76.19,84.0,95,0.69,EC,1613184412.0
homer,59.6425,-151.5483,33.8,69.0,75,5.75,US,1613184164.0
pine bluff,34.2284,-92.0032,27.0,74.0,90,16.11,US,1613184417.0
cabra,13.8883,120.0494,78.49,82.0,58,10.58,PH,1613184421.0
axim,4.8699,-2.2405,80.42,85.0,3,7.87,GH,1613184423.0
santander jimenez,24.2167,-98.4667,50.56,61.0,100,10.18,MX,1613184425.0
eldorado,24.3234,-107.3636,68.0,68.0,75,3.58,MX,1613184429.0
huarmey,-10.0681,-78.1522,73.22,68.0,98,6.67,PE,1613184431.0
manica,-18.9367,32.876,71.6,94.0,75,6.91,MZ,1613184433.0
cayenne,4.9333,-52.3333,78.8,94.0,90,3.44,GF,1613184435.0
